tm,warning_type,주의보_개수
2021-08-10,"태풍주의보, 폭염주의보, 풍랑주의보, 한파주의보",4
2021-08-11,"태풍주의보, 폭염주의보, 폭풍해일주의보, 한파주의보",4
2021-08-12,"태풍주의보, 폭염주의보, 폭풍해일주의보, 한파주의보",4
2021-08-13,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-08-14,"태풍주의보, 풍랑주의보, 한파주의보, 호우주의보",4
2021-08-15,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-08-16,"태풍주의보, 한파주의보",2
2021-08-17,"태풍주의보, 풍랑주의보, 한파주의보, 호우주의보",4
2021-08-18,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-08-19,"강풍주의보, 태풍주의보, 풍랑주의보, 한파주의보, 호우주의보",5
2021-08-20,"태풍주의보, 한파주의보",2
2021-08-21,"태풍주의보, 풍랑주의보, 한파주의보, 호우주의보",4
2021-08-22,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-08-23,"태풍주의보, 풍랑주의보, 한파주의보, 호우주의보",4
2021-08-24,"강풍주의보, 태풍주의보, 풍랑주의보, 한파주의보, 호우주의보",5
2021-08-25,"풍랑주의보, 한파주의보, 호우주의보",3
2021-08-26,"폭염주의보, 한파주의보",2
2021-08-27,"폭염주의보, 한파주의보",2
2021-08-28,한파주의보,1
2021-08-29,"폭염주의보, 한파주의보, 호우주의보",3
2021-08-30,"폭염주의보, 한파주의보",2
2021-08-31,"폭염주의보, 한파주의보",2
2021-09-01,"폭염주의보, 풍랑주의보, 한파주의보, 호우주의보",4
2021-09-02,"풍랑주의보, 한파주의보",2
2021-09-03,한파주의보,1
2021-09-04,한파주의보,1
2021-09-05,한파주의보,1
2021-09-06,한파주의보,1
2021-09-07,한파주의보,1
2021-09-08,한파주의보,1
2021-09-09,한파주의보,1
2021-09-10,한파주의보,1
2021-09-11,한파주의보,1
2021-09-12,한파주의보,1
2021-09-13,"풍랑주의보, 한파주의보",2
2021-09-14,"풍랑주의보, 한파주의보",2
2021-09-15,"풍랑주의보, 한파주의보",2
2021-09-16,"풍랑주의보, 한파주의보",2
2021-09-17,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-09-18,"풍랑주의보, 한파주의보",2
2021-09-19,한파주의보,1
2021-09-20,한파주의보,1
2021-09-21,한파주의보,1
2021-09-22,"강풍주의보, 한파주의보",2
2021-09-23,한파주의보,1
2021-09-24,한파주의보,1
2021-09-25,"풍랑주의보, 한파주의보",2
2021-09-26,"풍랑주의보, 한파주의보",2
2021-09-27,한파주의보,1
2021-09-28,한파주의보,1
2021-09-29,"풍랑주의보, 한파주의보, 호우주의보",3
2021-09-30,"풍랑주의보, 한파주의보",2
2021-10-01,"풍랑주의보, 한파주의보",2
2021-10-02,한파주의보,1
2021-10-03,한파주의보,1
2021-10-04,한파주의보,1
2021-10-05,한파주의보,1
2021-10-06,한파주의보,1
2021-10-07,한파주의보,1
2021-10-08,한파주의보,1
2021-10-09,한파주의보,1
2021-10-10,"풍랑주의보, 한파주의보",2
2021-10-11,"풍랑주의보, 한파주의보",2
2021-10-12,"풍랑주의보, 한파주의보",2
2021-10-13,"풍랑주의보, 한파주의보",2
2021-10-14,한파주의보,1
2021-10-15,한파주의보,1
2021-10-16,"풍랑주의보, 한파주의보",2
2021-10-17,"풍랑주의보, 한파주의보",2
2021-10-19,풍랑주의보,1
2021-10-20,풍랑주의보,1
2021-10-22,풍랑주의보,1
2021-10-23,풍랑주의보,1
2021-10-29,풍랑주의보,1
2021-11-06,풍랑주의보,1
2021-11-07,풍랑주의보,1
2021-11-08,"강풍주의보, 풍랑주의보",2
2021-11-09,풍랑주의보,1
2021-11-10,풍랑주의보,1
2021-11-11,풍랑주의보,1
2021-11-12,풍랑주의보,1
2021-11-22,"강풍주의보, 풍랑주의보",2
2021-11-23,"강풍주의보, 풍랑주의보",2
2021-11-24,풍랑주의보,1
2021-11-25,건조주의보,1
2021-11-26,건조주의보,1
2021-11-27,건조주의보,1
2021-11-28,건조주의보,1
2021-11-29,건조주의보,1
2021-11-30,"건조주의보, 풍랑주의보, 호우주의보",3
2021-12-03,건조주의보,1
2021-12-04,"건조주의보, 풍랑주의보",2
2021-12-05,건조주의보,1
2021-12-06,건조주의보,1
2021-12-07,풍랑주의보,1
2021-12-08,풍랑주의보,1
2021-12-12,"풍랑주의보, 한파주의보",2
2021-12-13,"풍랑주의보, 한파주의보",2
2021-12-14,건조주의보,1
2021-12-15,건조주의보,1
2021-12-16,건조주의보,1
2021-12-17,"강풍주의보, 풍랑주의보",2
2021-12-18,풍랑주의보,1
2021-12-19,풍랑주의보,1
2021-12-20,풍랑주의보,1
2021-12-21,풍랑주의보,1
2021-12-24,건조주의보,1
2021-12-25,"강풍주의보, 건조주의보, 풍랑주의보, 한파주의보",4
2021-12-26,"강풍주의보, 건조주의보, 한파주의보",3
2021-12-27,"건조주의보, 한파주의보",2
2021-12-28,"건조주의보, 한파주의보",2
2021-12-29,한파주의보,1
2021-12-30,"건조주의보, 풍랑주의보, 한파주의보",3
2021-12-31,"건조주의보, 풍랑주의보, 한파주의보",3
2022-01-01,"건조주의보, 풍랑주의보, 한파주의보",3
2022-01-02,"건조주의보, 한파주의보",2
2022-01-03,"건조주의보, 한파주의보",2
2022-01-04,"건조주의보, 한파주의보",2
2022-01-05,한파주의보,1
2022-01-06,한파주의보,1
2022-01-07,"건조주의보, 한파주의보",2
2022-01-08,"건조주의보, 한파주의보",2
2022-01-09,"건조주의보, 한파주의보",2
2022-01-10,한파주의보,1
2022-01-11,"강풍주의보, 풍랑주의보, 한파주의보",3
2022-01-12,"강풍주의보, 풍랑주의보, 한파주의보",3
2022-01-13,"강풍주의보, 건조주의보, 풍랑주의보",3
2022-01-14,"건조주의보, 풍랑주의보",2
2022-01-15,건조주의보,1
2022-01-16,건조주의보,1
2022-01-17,"건조주의보, 풍랑주의보",2
2022-01-18,"건조주의보, 풍랑주의보",2
2022-01-19,건조주의보,1
2022-01-20,"건조주의보, 풍랑주의보",2
2022-01-21,건조주의보,1
2022-01-23,풍랑주의보,1
2022-01-24,풍랑주의보,1
2022-01-27,건조주의보,1
2022-01-28,건조주의보,1
2022-01-29,건조주의보,1
2022-01-30,건조주의보,1
2022-01-31,건조주의보,1
2022-02-01,"건조주의보, 풍랑주의보",2
2022-02-02,풍랑주의보,1
2022-02-04,풍랑주의보,1
2022-02-05,풍랑주의보,1
2022-02-06,풍랑주의보,1
2022-02-13,풍랑주의보,1
2022-02-14,풍랑주의보,1
2022-02-15,"건조주의보, 풍랑주의보",2
2022-02-16,"건조주의보, 풍랑주의보, 한파주의보",3
2022-02-17,"건조주의보, 풍랑주의보, 한파주의보",3
2022-02-18,"건조주의보, 풍랑주의보, 한파주의보",3
2022-02-19,"건조주의보, 풍랑주의보",2
2022-02-20,"강풍주의보, 건조주의보, 풍랑주의보",3
2022-02-21,"강풍주의보, 건조주의보",2
2022-02-22,"강풍주의보, 건조주의보",2
2022-02-23,"강풍주의보, 건조주의보",2
2022-02-24,"강풍주의보, 건조주의보",2
2022-02-25,"강풍주의보, 건조주의보",2
2022-02-26,"강풍주의보, 건조주의보",2
2022-02-27,"강풍주의보, 건조주의보",2
2022-02-28,건조주의보,1
2022-03-01,건조주의보,1
2022-03-02,건조주의보,1
2022-03-03,건조주의보,1
2022-03-04,"건조주의보, 풍랑주의보",2
2022-03-05,"강풍주의보, 건조주의보, 풍랑주의보, 한파주의보",4
2022-03-06,"건조주의보, 풍랑주의보, 한파주의보",3
2022-03-07,건조주의보,1
2022-03-08,건조주의보,1
2022-03-09,건조주의보,1
2022-03-10,건조주의보,1
2022-03-11,건조주의보,1
2022-03-12,건조주의보,1
2022-03-13,"강풍주의보, 건조주의보",2
2022-03-14,건조주의보,1
2022-03-15,건조주의보,1
2022-03-16,건조주의보,1
2022-03-17,"강풍주의보, 건조주의보, 풍랑주의보",3
2022-03-18,"강풍주의보, 건조주의보, 풍랑주의보",3
2022-03-19,"강풍주의보, 건조주의보",2
2022-03-20,건조주의보,1
2022-03-21,"건조주의보, 풍랑주의보",2
2022-03-22,"건조주의보, 풍랑주의보",2
2022-03-23,건조주의보,1
2022-03-24,건조주의보,1
2022-03-25,"강풍주의보, 건조주의보, 풍랑주의보",3
2022-03-26,"강풍주의보, 건조주의보, 풍랑주의보, 호우주의보",4
2022-03-27,"건조주의보, 호우주의보",2
2022-03-28,"건조주의보, 호우주의보",2
2022-03-29,"건조주의보, 호우주의보",2
2022-03-30,"건조주의보, 호우주의보",2
2022-03-31,"건조주의보, 풍랑주의보, 호우주의보",3
2022-04-01,"건조주의보, 풍랑주의보, 호우주의보",3
2022-04-02,"건조주의보, 호우주의보",2
2022-04-03,"건조주의보, 호우주의보",2
2022-04-04,"건조주의보, 호우주의보",2
2022-04-05,"건조주의보, 호우주의보",2
2022-04-06,"건조주의보, 호우주의보",2
2022-04-07,"건조주의보, 호우주의보",2
2022-04-08,"건조주의보, 호우주의보",2
2022-04-09,"건조주의보, 호우주의보",2
2022-04-10,"건조주의보, 호우주의보",2
2022-04-11,"건조주의보, 호우주의보",2
2022-04-12,"건조주의보, 호우주의보",2
2022-04-13,"풍랑주의보, 호우주의보",2
2022-04-14,"풍랑주의보, 호우주의보",2
2022-04-15,"풍랑주의보, 호우주의보",2
2022-04-16,"건조주의보, 풍랑주의보, 호우주의보",3
2022-04-17,"건조주의보, 호우주의보",2
2022-04-18,"건조주의보, 호우주의보",2
2022-04-19,"건조주의보, 호우주의보",2
2022-04-20,"건조주의보, 호우주의보",2
2022-04-21,"건조주의보, 호우주의보",2
2022-04-22,호우주의보,1
2022-04-23,호우주의보,1
2022-04-24,호우주의보,1
2022-04-25,호우주의보,1
2022-04-26,"강풍주의보, 호우주의보",2
2022-04-27,호우주의보,1
2022-04-28,호우주의보,1
2022-04-29,"강풍주의보, 호우주의보",2
2022-04-30,호우주의보,1
2022-05-01,호우주의보,1
2022-05-02,호우주의보,1
2022-05-03,호우주의보,1
2022-05-04,호우주의보,1
2022-05-05,호우주의보,1
2022-05-06,호우주의보,1
2022-05-07,호우주의보,1
2022-05-08,호우주의보,1
2022-05-09,호우주의보,1
2022-05-10,호우주의보,1
2022-05-11,호우주의보,1
2022-05-12,호우주의보,1
2022-05-13,호우주의보,1
2022-05-14,호우주의보,1
2022-05-15,"건조주의보, 호우주의보",2
2022-05-16,"건조주의보, 호우주의보",2
2022-05-17,"건조주의보, 호우주의보",2
2022-05-18,"건조주의보, 호우주의보",2
2022-05-19,"건조주의보, 호우주의보",2
2022-05-20,"건조주의보, 풍랑주의보, 호우주의보",3
2022-05-21,"건조주의보, 풍랑주의보, 호우주의보",3
2022-05-22,"풍랑주의보, 호우주의보",2
2022-05-23,"풍랑주의보, 호우주의보",2
2022-05-24,"풍랑주의보, 호우주의보",2
2022-05-25,"풍랑주의보, 호우주의보",2
2022-05-26,"풍랑주의보, 호우주의보",2
2022-05-27,"풍랑주의보, 호우주의보",2
2022-05-28,"풍랑주의보, 호우주의보",2
2022-05-29,"풍랑주의보, 호우주의보",2
2022-05-30,"건조주의보, 풍랑주의보, 호우주의보",3
2022-05-31,"건조주의보, 호우주의보",2
2022-06-01,"건조주의보, 호우주의보",2
2022-06-02,"건조주의보, 호우주의보",2
2022-06-03,"건조주의보, 호우주의보",2
2022-06-04,호우주의보,1
2022-06-05,"풍랑주의보, 호우주의보",2
2022-06-06,"풍랑주의보, 호우주의보",2
2022-06-07,호우주의보,1
2022-06-08,호우주의보,1
2022-06-09,호우주의보,1
2022-06-10,호우주의보,1
2022-06-11,"풍랑주의보, 호우주의보",2
2022-06-12,"풍랑주의보, 호우주의보",2
2022-06-13,"풍랑주의보, 호우주의보",2
2022-06-14,"풍랑주의보, 호우주의보",2
2022-06-15,"풍랑주의보, 호우주의보",2
2022-06-16,호우주의보,1
2022-06-17,호우주의보,1
2022-06-18,"폭염주의보, 호우주의보",2
2022-06-19,"폭염주의보, 호우주의보",2
2022-06-20,"폭염주의보, 호우주의보",2
2022-06-21,"폭염주의보, 풍랑주의보, 호우주의보",3
2022-06-22,"폭염주의보, 호우주의보",2
2022-06-23,"강풍주의보, 풍랑주의보, 호우주의보",3
2022-06-24,"강풍주의보, 풍랑주의보, 호우주의보",3
2022-06-25,폭염주의보,1
2022-06-26,폭염주의보,1
2022-06-27,호우주의보,1
2022-06-28,강풍주의보,1
2022-06-29,강풍주의보,1
2022-06-30,폭염주의보,1
2022-07-01,폭염주의보,1
2022-07-02,폭염주의보,1
2022-07-03,"태풍주의보, 폭염주의보",2
2022-07-04,"태풍주의보, 폭염주의보",2
2022-07-05,"태풍주의보, 폭염주의보",2
2022-07-06,폭염주의보,1
2022-07-07,폭염주의보,1
2022-07-08,폭염주의보,1
2022-07-09,폭염주의보,1
2022-07-10,폭염주의보,1
2022-07-11,폭염주의보,1
2022-07-12,폭염주의보,1
2022-07-13,폭염주의보,1
2022-07-14,"폭염주의보, 폭풍해일주의보",2
2022-07-15,"폭염주의보, 폭풍해일주의보",2
2022-07-16,"폭염주의보, 폭풍해일주의보",2
2022-07-17,폭풍해일주의보,1
2022-07-18,"풍랑주의보, 호우주의보",2
2022-07-19,풍랑주의보,1
2022-07-21,풍랑주의보,1
2022-07-22,폭염주의보,1
2022-07-23,폭염주의보,1
2022-07-24,폭염주의보,1
2022-07-25,폭염주의보,1
2022-07-26,폭염주의보,1
2022-07-27,폭염주의보,1
2022-07-28,폭염주의보,1
2022-07-29,폭염주의보,1
2022-07-30,"태풍주의보, 폭염주의보, 풍랑주의보",3
2022-07-31,"태풍주의보, 폭염주의보, 풍랑주의보, 호우주의보",4
2022-08-01,"폭염주의보, 풍랑주의보",2
2022-08-02,"폭염주의보, 호우주의보",2
2022-08-03,폭염주의보,1
2022-08-04,폭염주의보,1
2022-08-05,폭염주의보,1
2022-08-06,폭염주의보,1
2022-08-07,폭염주의보,1
2022-08-08,폭염주의보,1
2022-08-09,폭염주의보,1
2022-08-10,폭염주의보,1
2022-08-12,폭풍해일주의보,1
2022-08-15,풍랑주의보,1
2022-08-16,"풍랑주의보, 호우주의보",2
2022-08-17,호우주의보,1
2022-08-19,폭염주의보,1
2022-08-20,폭염주의보,1
2022-08-21,폭염주의보,1
2022-08-22,폭염주의보,1
2022-08-23,폭염주의보,1
2022-09-01,풍랑주의보,1
2022-09-02,풍랑주의보,1
2022-09-03,풍랑주의보,1
2022-09-04,풍랑주의보,1
2022-09-05,"태풍주의보, 풍랑주의보",2
2022-09-06,"태풍주의보, 풍랑주의보",2
2022-09-10,풍랑주의보,1
2022-09-13,"강풍주의보, 풍랑주의보",2
2022-09-14,"강풍주의보, 풍랑주의보",2
2022-09-15,"강풍주의보, 풍랑주의보",2
2022-09-16,풍랑주의보,1
2022-09-17,풍랑주의보,1
2022-09-18,"강풍주의보, 태풍주의보, 풍랑주의보",3
2022-09-19,"강풍주의보, 태풍주의보, 풍랑주의보",3
2022-09-20,풍랑주의보,1
2022-10-04,풍랑주의보,1
2022-10-05,풍랑주의보,1
2022-10-07,풍랑주의보,1
2022-10-08,풍랑주의보,1
2022-10-09,강풍주의보,1
2022-10-10,"강풍주의보, 풍랑주의보",2
2022-10-11,"강풍주의보, 풍랑주의보",2
2022-10-17,풍랑주의보,1
2022-10-18,풍랑주의보,1
2022-10-23,풍랑주의보,1
2022-10-24,풍랑주의보,1
2022-10-25,풍랑주의보,1
2022-10-28,풍랑주의보,1
2022-10-29,풍랑주의보,1
2022-11-03,건조주의보,1
2022-11-04,"건조주의보, 풍랑주의보",2
2022-11-05,"건조주의보, 풍랑주의보",2
2022-11-06,건조주의보,1
2022-11-07,건조주의보,1
2022-11-08,건조주의보,1
2022-11-12,풍랑주의보,1
2022-11-13,풍랑주의보,1
2022-11-14,풍랑주의보,1
2022-11-22,풍랑주의보,1
2022-11-23,풍랑주의보,1
2022-11-28,풍랑주의보,1
2022-11-29,"강풍주의보, 풍랑주의보",2
2022-11-30,강풍주의보,1
2022-12-01,"강풍주의보, 건조주의보",2
2022-12-02,"강풍주의보, 건조주의보",2
2022-12-03,"강풍주의보, 건조주의보",2
2022-12-04,"강풍주의보, 건조주의보, 풍랑주의보",3
2022-12-05,"강풍주의보, 건조주의보, 풍랑주의보",3
2022-12-06,"강풍주의보, 건조주의보",2
2022-12-07,강풍주의보,1
2022-12-08,강풍주의보,1
2022-12-09,강풍주의보,1
2022-12-10,강풍주의보,1
2022-12-11,"강풍주의보, 풍랑주의보",2
2022-12-12,"강풍주의보, 풍랑주의보",2
2022-12-13,"강풍주의보, 대설주의보, 풍랑주의보, 한파주의보",4
2022-12-14,"강풍주의보, 대설주의보, 풍랑주의보, 한파주의보",4
2022-12-15,"강풍주의보, 건조주의보, 한파주의보",3
2022-12-16,"강풍주의보, 건조주의보, 한파주의보",3
2022-12-17,"강풍주의보, 건조주의보, 대설주의보, 풍랑주의보, 한파주의보",5
2022-12-18,"강풍주의보, 건조주의보, 풍랑주의보, 한파주의보",4
2022-12-19,"강풍주의보, 건조주의보, 풍랑주의보, 한파주의보",4
2022-12-20,"강풍주의보, 건조주의보, 한파주의보",3
2022-12-21,"강풍주의보, 건조주의보, 대설주의보, 풍랑주의보, 한파주의보",5
2022-12-22,"강풍주의보, 대설주의보, 풍랑주의보, 한파주의보",4
2022-12-23,"강풍주의보, 대설주의보, 풍랑주의보, 한파주의보",4
2022-12-24,"강풍주의보, 건조주의보, 풍랑주의보, 한파주의보",4
2022-12-25,"건조주의보, 한파주의보",2
2022-12-26,"건조주의보, 한파주의보",2
2022-12-27,"건조주의보, 한파주의보",2
2022-12-28,"건조주의보, 한파주의보",2
2022-12-29,"건조주의보, 한파주의보",2
2022-12-30,"건조주의보, 한파주의보",2
2022-12-31,"건조주의보, 한파주의보",2
2023-01-01,"건조주의보, 한파주의보",2
2023-01-02,"건조주의보, 한파주의보",2
2023-01-03,"건조주의보, 한파주의보",2
2023-01-04,"건조주의보, 한파주의보",2
2023-01-05,"건조주의보, 한파주의보",2
2023-01-06,"건조주의보, 한파주의보",2
2023-01-07,"풍랑주의보, 한파주의보",2
2023-01-08,한파주의보,1
2023-01-09,한파주의보,1
2023-01-10,한파주의보,1
2023-01-11,한파주의보,1
2023-01-12,한파주의보,1
2023-01-13,"풍랑주의보, 한파주의보, 호우주의보",3
2023-01-14,"풍랑주의보, 한파주의보",2
2023-01-15,한파주의보,1
2023-01-16,한파주의보,1
2023-01-17,한파주의보,1
2023-01-18,한파주의보,1
2023-01-19,한파주의보,1
2023-01-20,"건조주의보, 풍랑주의보, 한파주의보",3
2023-01-21,"건조주의보, 한파주의보",2
2023-01-22,"건조주의보, 풍랑주의보",2
2023-01-23,"강풍주의보, 건조주의보, 풍랑주의보, 한파주의보",4
2023-01-24,"강풍주의보, 건조주의보, 풍랑주의보, 한파주의보",4
2023-01-25,"강풍주의보, 건조주의보, 풍랑주의보, 한파주의보",4
2023-01-26,건조주의보,1
2023-01-27,"강풍주의보, 건조주의보, 풍랑주의보",3
2023-01-28,"강풍주의보, 건조주의보, 풍랑주의보",3
2023-01-29,건조주의보,1
2023-01-30,"건조주의보, 풍랑주의보",2
2023-01-31,건조주의보,1
2023-02-01,풍랑주의보,1
2023-02-02,"건조주의보, 풍랑주의보",2
2023-02-03,건조주의보,1
2023-02-04,건조주의보,1
2023-02-05,건조주의보,1
2023-02-06,"건조주의보, 풍랑주의보",2
2023-02-07,"건조주의보, 풍랑주의보",2
2023-02-08,풍랑주의보,1
2023-02-09,"대설주의보, 풍랑주의보",2
2023-02-10,"대설주의보, 풍랑주의보",2
2023-02-11,대설주의보,1
2023-02-13,풍랑주의보,1
2023-02-14,풍랑주의보,1
2023-02-19,풍랑주의보,1
2023-02-20,"강풍주의보, 풍랑주의보",2
2023-02-21,풍랑주의보,1
2023-02-24,건조주의보,1
2023-02-25,"건조주의보, 풍랑주의보",2
2023-02-26,"건조주의보, 풍랑주의보",2
2023-02-27,건조주의보,1
2023-02-28,건조주의보,1
2023-03-01,건조주의보,1
2023-03-02,풍랑주의보,1
2023-03-04,건조주의보,1
2023-03-05,건조주의보,1
2023-03-06,건조주의보,1
2023-03-07,건조주의보,1
2023-03-12,강풍주의보,1
2023-03-13,강풍주의보,1
2023-03-15,건조주의보,1
2023-03-16,건조주의보,1
2023-03-17,건조주의보,1
2023-03-18,건조주의보,1
2023-03-19,건조주의보,1
2023-03-20,건조주의보,1
2023-03-21,건조주의보,1
2023-03-22,건조주의보,1
2023-03-23,"풍랑주의보, 호우주의보",2
2023-03-24,풍랑주의보,1
2023-03-25,풍랑주의보,1
2023-03-30,건조주의보,1
2023-03-31,건조주의보,1
2023-04-01,건조주의보,1
2023-04-02,"건조주의보, 풍랑주의보",2
2023-04-03,"건조주의보, 풍랑주의보",2
2023-04-04,건조주의보,1
2023-04-05,"강풍주의보, 풍랑주의보, 호우주의보",3
2023-04-06,"강풍주의보, 풍랑주의보",2
2023-04-08,"건조주의보, 풍랑주의보",2
2023-04-09,건조주의보,1
2023-04-10,"건조주의보, 풍랑주의보",2
2023-04-11,"강풍주의보, 건조주의보, 풍랑주의보",3
2023-04-12,"건조주의보, 풍랑주의보",2
2023-04-13,건조주의보,1
2023-04-14,"건조주의보, 풍랑주의보",2
2023-04-15,"건조주의보, 풍랑주의보",2
2023-04-16,"건조주의보, 풍랑주의보",2
2023-04-17,"건조주의보, 풍랑주의보",2
2023-04-18,"강풍주의보, 건조주의보, 풍랑주의보",3
2023-04-19,"건조주의보, 풍랑주의보",2
2023-04-20,"건조주의보, 풍랑주의보",2
2023-04-21,"강풍주의보, 건조주의보, 풍랑주의보",3
2023-04-22,"강풍주의보, 건조주의보, 풍랑주의보",3
2023-04-23,"강풍주의보, 건조주의보",2
2023-04-24,"건조주의보, 풍랑주의보",2
2023-04-25,"건조주의보, 풍랑주의보",2
2023-04-29,풍랑주의보,1
2023-04-30,풍랑주의보,1
2023-05-04,풍랑주의보,1
2023-05-05,"강풍주의보, 풍랑주의보, 호우주의보",3
2023-05-06,"강풍주의보, 풍랑주의보, 호우주의보",3
2023-05-07,풍랑주의보,1
2023-05-08,풍랑주의보,1
2023-05-18,풍랑주의보,1
2023-05-19,풍랑주의보,1
2023-05-31,풍랑주의보,1
2023-06-01,"풍랑주의보, 호우주의보",2
2023-06-02,풍랑주의보,1
2023-06-03,풍랑주의보,1
2023-06-14,강풍주의보,1
2023-06-25,호우주의보,1
2023-06-26,호우주의보,1
2023-06-27,"폭염주의보, 풍랑주의보, 호우주의보",3
2023-06-28,"폭염주의보, 호우주의보",2
2023-06-29,"풍랑주의보, 호우주의보",2
2023-06-30,"풍랑주의보, 호우주의보",2
2023-07-01,폭염주의보,1
2023-07-02,폭염주의보,1
2023-07-03,폭염주의보,1
2023-07-04,폭염주의보,1
2023-07-05,"폭염주의보, 풍랑주의보",2
2023-07-06,"폭염주의보, 풍랑주의보",2
2023-07-07,"풍랑주의보, 호우주의보",2
2023-07-08,"폭염주의보, 풍랑주의보",2
2023-07-09,"폭염주의보, 풍랑주의보",2
2023-07-10,"폭염주의보, 풍랑주의보",2
2023-07-11,"강풍주의보, 폭염주의보, 풍랑주의보, 호우주의보",4
2023-07-12,"폭염주의보, 풍랑주의보, 호우주의보",3
2023-07-13,폭염주의보,1
2023-07-14,"강풍주의보, 폭염주의보, 풍랑주의보, 호우주의보",4
2023-07-15,"강풍주의보, 폭염주의보, 호우주의보",3
2023-07-16,"강풍주의보, 폭염주의보, 호우주의보",3
2023-07-17,"폭염주의보, 호우주의보",2
2023-07-18,"강풍주의보, 폭염주의보, 풍랑주의보, 호우주의보",4
2023-07-19,"강풍주의보, 폭염주의보, 풍랑주의보, 호우주의보",4
2023-07-20,"강풍주의보, 폭염주의보, 풍랑주의보, 호우주의보",4
2023-07-21,"강풍주의보, 폭염주의보, 풍랑주의보, 호우주의보",4
2023-07-22,"강풍주의보, 폭염주의보, 풍랑주의보, 호우주의보",4
2023-07-23,"강풍주의보, 풍랑주의보, 호우주의보",3
2023-07-24,"강풍주의보, 풍랑주의보, 호우주의보",3
2023-07-25,"강풍주의보, 폭염주의보, 풍랑주의보, 호우주의보",4
2023-07-26,"강풍주의보, 폭염주의보, 풍랑주의보, 호우주의보",4
2023-07-27,"폭염주의보, 풍랑주의보",2
2023-07-28,"폭염주의보, 풍랑주의보",2
2023-07-29,폭염주의보,1
2023-07-30,폭염주의보,1
2023-07-31,"폭염주의보, 풍랑주의보",2
2023-08-01,"폭염주의보, 풍랑주의보",2
2023-08-02,"폭염주의보, 폭풍해일주의보, 풍랑주의보",3
2023-08-03,"폭염주의보, 폭풍해일주의보, 풍랑주의보",3
2023-08-04,"폭염주의보, 풍랑주의보",2
2023-08-05,"폭염주의보, 풍랑주의보",2
2023-08-06,"폭염주의보, 풍랑주의보",2
2023-08-07,"폭염주의보, 풍랑주의보",2
2023-08-08,"태풍주의보, 폭염주의보, 풍랑주의보",3
2023-08-09,"태풍주의보, 풍랑주의보, 호우주의보",3
2023-08-10,"태풍주의보, 풍랑주의보, 호우주의보",3
2023-08-11,"폭염주의보, 호우주의보",2
2023-08-12,"폭염주의보, 호우주의보",2
2023-08-13,"폭염주의보, 호우주의보",2
2023-08-14,"폭염주의보, 호우주의보",2
2023-08-15,"폭염주의보, 폭풍해일주의보, 풍랑주의보, 호우주의보",4
2023-08-16,"폭염주의보, 폭풍해일주의보, 풍랑주의보, 호우주의보",4
2023-08-17,"폭염주의보, 폭풍해일주의보, 호우주의보",3
2023-08-18,"폭염주의보, 호우주의보",2
2023-08-19,"폭염주의보, 호우주의보",2
2023-08-20,폭염주의보,1
2023-08-21,폭염주의보,1
2023-08-22,폭염주의보,1
2023-08-23,"폭염주의보, 호우주의보",2
2023-08-24,"폭염주의보, 호우주의보",2
2023-08-25,폭염주의보,1
2023-08-26,폭염주의보,1
2023-08-27,폭염주의보,1
2023-08-28,폭염주의보,1
2023-08-29,호우주의보,1
2023-08-30,"폭풍해일주의보, 호우주의보",2
2023-08-31,"폭풍해일주의보, 풍랑주의보, 호우주의보",3
2023-09-01,"폭풍해일주의보, 풍랑주의보, 호우주의보",3
2023-09-02,"폭풍해일주의보, 풍랑주의보, 호우주의보",3
2023-09-03,풍랑주의보,1
2023-09-04,"폭염주의보, 호우주의보",2
2023-09-05,"강풍주의보, 폭염주의보, 풍랑주의보",3
2023-09-06,"강풍주의보, 풍랑주의보",2
2023-09-07,"강풍주의보, 풍랑주의보",2
2023-09-13,호우주의보,1
2023-09-14,호우주의보,1
2023-09-16,호우주의보,1
2023-09-17,호우주의보,1
2023-09-18,호우주의보,1
2023-09-20,"강풍주의보, 풍랑주의보, 호우주의보",3
2023-09-21,"강풍주의보, 풍랑주의보, 호우주의보",3
2023-09-23,풍랑주의보,1
2023-09-24,풍랑주의보,1
2023-09-28,폭풍해일주의보,1
2023-09-29,폭풍해일주의보,1
2023-09-30,폭풍해일주의보,1
2023-10-05,풍랑주의보,1
2023-10-07,풍랑주의보,1
2023-10-08,풍랑주의보,1
2023-10-20,풍랑주의보,1
2023-10-21,풍랑주의보,1
2023-10-27,풍랑주의보,1
2023-10-28,풍랑주의보,1
