tm,warning_type,주의보_개수
2020-08-30,"태풍주의보, 폭염주의보, 호우주의보",3
2020-08-31,"태풍주의보, 풍랑주의보",2
2020-09-01,"태풍주의보, 풍랑주의보",2
2020-09-02,"태풍주의보, 풍랑주의보, 호우주의보",3
2020-09-03,"태풍주의보, 풍랑주의보, 호우주의보",3
2020-09-04,"태풍주의보, 호우주의보",2
2020-09-05,"태풍주의보, 호우주의보",2
2020-09-06,"강풍주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2020-09-07,"강풍주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2020-09-08,"태풍주의보, 호우주의보",2
2020-09-09,"태풍주의보, 호우주의보",2
2020-09-10,"태풍주의보, 호우주의보",2
2020-09-11,"태풍주의보, 호우주의보",2
2020-09-12,"태풍주의보, 풍랑주의보, 호우주의보",3
2020-09-13,"태풍주의보, 풍랑주의보, 호우주의보",3
2020-09-14,"태풍주의보, 풍랑주의보, 호우주의보",3
2020-09-15,"태풍주의보, 호우주의보",2
2020-09-16,"태풍주의보, 호우주의보",2
2020-09-17,"태풍주의보, 호우주의보",2
2020-09-18,"태풍주의보, 호우주의보",2
2020-09-19,"태풍주의보, 호우주의보",2
2020-09-20,"태풍주의보, 호우주의보",2
2020-09-21,"태풍주의보, 호우주의보",2
2020-09-22,"태풍주의보, 풍랑주의보, 호우주의보",3
2020-09-23,"태풍주의보, 풍랑주의보, 호우주의보",3
2020-09-24,"태풍주의보, 풍랑주의보, 호우주의보",3
2020-09-25,"태풍주의보, 풍랑주의보, 호우주의보",3
2020-09-26,"태풍주의보, 풍랑주의보, 호우주의보",3
2020-09-27,"태풍주의보, 호우주의보",2
2020-09-28,"태풍주의보, 호우주의보",2
2020-09-29,"태풍주의보, 호우주의보",2
2020-09-30,"태풍주의보, 호우주의보",2
2020-10-01,"태풍주의보, 호우주의보",2
2020-10-02,"태풍주의보, 호우주의보",2
2020-10-03,"태풍주의보, 호우주의보",2
2020-10-04,"태풍주의보, 호우주의보",2
2020-10-05,"태풍주의보, 호우주의보",2
2020-10-06,"태풍주의보, 호우주의보",2
2020-10-07,"태풍주의보, 풍랑주의보, 호우주의보",3
2020-10-08,"강풍주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2020-10-09,"강풍주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2020-10-10,"태풍주의보, 풍랑주의보, 호우주의보",3
2020-10-11,"태풍주의보, 호우주의보",2
2020-10-12,"태풍주의보, 호우주의보",2
2020-10-13,"태풍주의보, 호우주의보",2
2020-10-14,"태풍주의보, 호우주의보",2
2020-10-15,"태풍주의보, 호우주의보",2
2020-10-16,"태풍주의보, 호우주의보",2
2020-10-17,"태풍주의보, 호우주의보",2
2020-10-18,"태풍주의보, 호우주의보",2
2020-10-19,"태풍주의보, 호우주의보",2
2020-10-20,"태풍주의보, 호우주의보",2
2020-10-21,"태풍주의보, 호우주의보",2
2020-10-22,"태풍주의보, 호우주의보",2
2020-10-23,"태풍주의보, 풍랑주의보, 호우주의보",3
2020-10-24,"태풍주의보, 호우주의보",2
2020-10-25,"태풍주의보, 호우주의보",2
2020-10-26,"태풍주의보, 호우주의보",2
2020-10-27,"태풍주의보, 호우주의보",2
2020-10-28,"태풍주의보, 호우주의보",2
2020-10-29,"태풍주의보, 호우주의보",2
2020-10-30,"태풍주의보, 호우주의보",2
2020-10-31,"태풍주의보, 호우주의보",2
2020-11-01,"태풍주의보, 호우주의보",2
2020-11-02,"태풍주의보, 호우주의보",2
2020-11-03,"건조주의보, 태풍주의보, 호우주의보",3
2020-11-04,"건조주의보, 태풍주의보, 호우주의보",3
2020-11-05,"건조주의보, 태풍주의보, 호우주의보",3
2020-11-06,"건조주의보, 태풍주의보, 호우주의보",3
2020-11-07,"건조주의보, 태풍주의보, 호우주의보",3
2020-11-08,"건조주의보, 태풍주의보, 호우주의보",3
2020-11-09,"건조주의보, 태풍주의보, 호우주의보",3
2020-11-10,"건조주의보, 태풍주의보, 호우주의보",3
2020-11-11,"건조주의보, 태풍주의보, 호우주의보",3
2020-11-12,"건조주의보, 태풍주의보, 호우주의보",3
2020-11-13,"태풍주의보, 호우주의보",2
2020-11-14,"태풍주의보, 호우주의보",2
2020-11-15,"태풍주의보, 호우주의보",2
2020-11-16,"태풍주의보, 호우주의보",2
2020-11-17,"태풍주의보, 호우주의보",2
2020-11-18,"태풍주의보, 호우주의보",2
2020-11-19,"강풍주의보, 태풍주의보, 호우주의보",3
2020-11-20,"태풍주의보, 호우주의보",2
2020-11-21,"태풍주의보, 풍랑주의보, 호우주의보",3
2020-11-22,"태풍주의보, 호우주의보",2
2020-11-23,"태풍주의보, 호우주의보",2
2020-11-24,"태풍주의보, 호우주의보",2
2020-11-25,"태풍주의보, 호우주의보",2
2020-11-26,"태풍주의보, 호우주의보",2
2020-11-27,"건조주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2020-11-28,"건조주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2020-11-29,"건조주의보, 태풍주의보, 호우주의보",3
2020-11-30,"건조주의보, 태풍주의보, 호우주의보",3
2020-12-01,"건조주의보, 태풍주의보, 호우주의보",3
2020-12-02,"건조주의보, 태풍주의보, 호우주의보",3
2020-12-03,"건조주의보, 태풍주의보, 호우주의보",3
2020-12-04,"건조주의보, 태풍주의보, 호우주의보",3
2020-12-05,"건조주의보, 태풍주의보, 호우주의보",3
2020-12-06,"건조주의보, 태풍주의보, 호우주의보",3
2020-12-07,"태풍주의보, 호우주의보",2
2020-12-08,"태풍주의보, 호우주의보",2
2020-12-09,"태풍주의보, 호우주의보",2
2020-12-10,"태풍주의보, 호우주의보",2
2020-12-11,"태풍주의보, 호우주의보",2
2020-12-12,"태풍주의보, 호우주의보",2
2020-12-13,"건조주의보, 태풍주의보, 호우주의보",3
2020-12-14,"건조주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2020-12-15,"건조주의보, 태풍주의보, 호우주의보",3
2020-12-16,"건조주의보, 태풍주의보, 호우주의보",3
2020-12-17,"건조주의보, 태풍주의보, 호우주의보",3
2020-12-18,"건조주의보, 태풍주의보, 호우주의보",3
2020-12-19,"건조주의보, 태풍주의보, 호우주의보",3
