시군구,사고월,사고일,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
동래구,07월,(중상자[명]),1,1,2,1,2,1,-,1,0,2,1,0,0,2,1,0,1,0,-,1,1,1,0,0,0,3,0,3,0,1,1
동래구,08월,사고[건],3,3,6,4,1,4,1,-,2,7,4,5,2,4,2,-,4,1,1,2,4,3,2,3,4,-,2,-,2,-,1
동래구,08월,사망[명],0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,-,0,-,0
동래구,08월,부상[명],3,5,7,5,1,6,1,-,2,7,4,5,3,4,4,-,5,1,1,3,6,3,2,3,6,-,3,-,3,-,3
동래구,08월,(중상자[명]),1,0,4,1,0,2,1,-,0,2,0,3,0,0,0,-,0,0,0,1,2,1,0,1,1,-,0,-,0,-,0
동래구,09월,사고[건],2,1,2,3,3,2,2,1,5,2,2,4,3,2,3,1,7,7,4,3,7,2,1,4,4,3,1,4,2,1,-
동래구,09월,사망[명],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
동래구,09월,부상[명],2,1,2,3,10,2,3,1,6,2,2,5,7,3,3,1,9,7,6,3,7,2,1,5,4,3,1,5,2,2,-
동래구,09월,(중상자[명]),0,0,0,0,0,2,0,0,0,1,1,0,0,2,1,1,3,4,3,0,2,2,0,1,0,1,0,1,0,2,-
동래구,10월,사고[건],2,2,3,3,1,8,1,3,3,1,3,4,-,1,3,3,3,3,4,2,5,-,2,3,1,4,2,3,7,4,4
동래구,10월,사망[명],0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
동래구,10월,부상[명],3,5,5,3,1,9,1,3,3,2,8,5,-,1,3,7,4,9,4,3,5,-,4,3,1,4,2,3,7,4,4
동래구,10월,(중상자[명]),1,0,1,0,0,1,0,0,0,0,1,1,-,0,1,0,0,1,1,1,2,-,3,1,0,1,1,2,1,0,2
남구,05월,사고[건],3,2,-,2,2,3,4,1,2,2,1,3,6,7,4,2,3,-,1,6,1,1,2,-,1,-,4,2,4,6,2
남구,05월,사망[명],0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,0,0,0,0,0,-,0,-,0,0,0,0,0
남구,05월,부상[명],3,2,-,2,2,4,5,1,2,1,1,4,9,9,5,2,9,-,1,8,1,1,2,-,1,-,5,10,4,12,2
남구,05월,(중상자[명]),2,1,-,0,1,1,2,0,0,0,0,1,2,3,2,0,1,-,1,1,1,0,1,-,0,-,0,1,1,3,0
남구,06월,사고[건],-,1,-,3,4,1,4,4,1,3,1,2,3,4,4,3,3,1,2,1,2,1,4,2,1,4,3,1,1,2,-
남구,06월,사망[명],-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
남구,06월,부상[명],-,2,-,3,5,1,6,5,1,3,1,3,8,4,5,3,4,1,2,1,2,1,4,2,2,4,4,1,1,2,-
남구,06월,(중상자[명]),-,0,-,1,2,0,1,0,0,0,0,1,0,1,1,0,1,1,2,0,0,1,0,0,0,1,1,0,0,0,-
남구,07월,사고[건],3,2,3,3,2,2,2,2,3,4,3,-,2,3,1,-,2,1,2,1,1,4,1,1,-,2,3,4,2,3,4
남구,07월,사망[명],0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0
남구,07월,부상[명],13,3,4,5,7,2,2,2,4,6,3,-,2,3,1,-,2,1,2,2,1,5,1,1,-,2,3,5,2,3,5
남구,07월,(중상자[명]),2,0,0,0,3,0,0,1,0,2,1,-,1,2,1,-,1,0,1,2,0,0,1,0,-,1,1,0,1,0,1
남구,08월,사고[건],2,-,4,-,2,1,-,-,1,2,2,3,1,1,1,2,2,5,3,2,-,3,-,2,4,1,3,4,2,2,2
남구,08월,사망[명],0,-,0,-,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0
남구,08월,부상[명],2,-,8,-,2,1,-,-,1,7,3,3,1,1,1,3,2,12,6,2,-,3,-,2,6,1,3,4,2,2,2
남구,08월,(중상자[명]),1,-,1,-,0,0,-,-,1,1,0,1,1,1,0,1,1,1,2,1,-,1,-,0,1,0,3,1,0,1,0
남구,09월,사고[건],-,3,2,4,3,2,1,3,3,5,2,2,1,2,1,-,7,2,1,1,5,4,2,5,-,1,1,3,3,1,-
남구,09월,사망[명],-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,-,1,0,0,0,0,-
남구,09월,부상[명],-,5,2,4,3,2,1,4,3,5,2,2,2,2,1,-,7,2,1,1,5,4,2,7,-,0,1,4,3,2,-
남구,09월,(중상자[명]),-,1,0,2,1,0,1,0,1,3,2,1,0,1,1,-,3,0,0,1,2,1,1,0,-,0,0,2,1,0,-
남구,10월,사고[건],3,4,-,1,-,2,4,3,-,3,3,1,4,3,2,1,2,1,2,1,6,5,7,3,4,-,5,3,6,5,2
남구,10월,사망[명],0,0,-,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0
남구,10월,부상[명],4,4,-,2,-,2,4,3,-,5,3,1,4,4,2,1,3,1,3,1,8,7,11,5,7,-,5,3,8,5,3
남구,10월,(중상자[명]),0,2,-,0,-,0,3,2,-,0,1,0,1,1,0,0,0,1,1,1,1,1,4,1,1,-,3,0,2,1,0
북구,05월,사고[건],2,2,2,2,2,6,3,4,1,2,5,-,1,-,2,1,2,2,4,2,2,-,4,4,2,4,3,3,-,4,-
북구,05월,사망[명],0,0,0,0,0,1,0,0,0,0,1,-,0,-,0,0,0,0,1,0,0,-,0,0,0,0,0,0,-,0,-
북구,05월,부상[명],2,2,2,3,4,6,4,6,1,2,5,-,1,-,4,1,2,3,3,2,2,-,4,5,5,13,4,3,-,4,-
북구,05월,(중상자[명]),1,0,0,2,2,4,0,2,1,0,2,-,0,-,0,1,1,1,0,1,0,-,0,2,1,1,2,1,-,2,-
북구,06월,사고[건],3,5,-,3,2,5,6,-,2,2,2,1,2,1,-,1,3,-,3,2,2,1,3,2,1,2,-,1,1,2,-
북구,06월,사망[명],0,0,-,0,0,0,0,-,0,0,0,0,0,0,-,0,1,-,1,0,0,0,0,0,0,0,-,0,0,0,-
북구,06월,부상[명],4,7,-,5,5,14,7,-,3,3,4,1,2,1,-,1,2,-,2,2,3,4,3,2,1,2,-,4,1,2,-
북구,06월,(중상자[명]),1,0,-,0,0,2,2,-,1,0,0,1,0,0,-,1,0,-,0,0,0,0,1,1,1,0,-,0,0,0,-
북구,07월,사고[건],1,2,1,2,2,3,1,4,3,2,1,4,6,2,2,6,3,5,2,2,4,-,3,-,2,2,1,-,3,1,6
북구,07월,사망[명],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-,0,-,0,0,0,-,0,0,0
북구,07월,부상[명],1,2,1,3,2,4,2,5,3,4,1,4,7,2,3,7,3,6,2,2,4,-,6,-,2,3,1,-,4,1,10
북구,07월,(중상자[명]),0,1,0,0,1,0,0,2,2,2,0,1,0,0,0,3,0,1,1,1,2,-,1,-,0,2,0,-,0,0,0
북구,08월,사고[건],3,1,2,-,1,-,2,3,5,2,1,1,1,-,-,-,1,3,-,5,1,2,1,5,1,3,4,4,-,3,1
